title,type,director,cast,country,release_year,combined_features,genres,poster_url
Candyman,Movie,Bernard Rose,"Virginia Madsen, Tony Todd, Xander Berkeley, Kasi Lemmons, Vanessa Williams, DeJuan Guy, Michael Culkin, Stanley DeSantis","United States, United Kingdom",1992,"Bernard Rose Virginia Madsen, Tony Todd, Xander Berkeley, Kasi Lemmons, Vanessa Williams, DeJuan Guy, Michael Culkin, Stanley DeSantis United States, United Kingdom Movie ","Horror, Thriller",https://image.tmdb.org/t/p/w500/qeV15PpR8jFJA9TF9JPXIoqEgp1.jpg
Cannabis,TV Show,,"Jean-Michel Correia, Yasin Houicha, Pedro Casablanc, Christophe Paou, Kate Moran, Santi Pons",France,2016," Jean-Michel Correia, Yasin Houicha, Pedro Casablanc, Christophe Paou, Kate Moran, Santi Pons France TV Show ","Crime, Drama",https://image.tmdb.org/t/p/w500/3p92Bp3OZhnHiAnfNGdU7dBu5Tr.jpg
Capital in the Twenty-First Century,Movie,Justin Pemberton,,"France, New Zealand",2019,"Justin Pemberton  France, New Zealand Movie ",Documentary,https://image.tmdb.org/t/p/w500/dfxi1TZ5OwYMoz4OWjuQlcxI3VQ.jpg
Cappuccino,Movie,Noushad,"Dharmajan Bolgatty, Aneesh Menon, Sunil Sukhada, Anita Lukmance, Kottayam Pradeep, Natasha Doshi, Hareesh Perumanna, Sharanya, Vineeth Mohan, Sudhi Koppa",India,2017,"Noushad Dharmajan Bolgatty, Aneesh Menon, Sunil Sukhada, Anita Lukmance, Kottayam Pradeep, Natasha Doshi, Hareesh Perumanna, Sharanya, Vineeth Mohan, Sudhi Koppa India Movie ","Drama, Comedy",https://image.tmdb.org/t/p/w500/7MuBpmIA5xS65QXxMj8ORaiWGFp.jpg
Cardboard Gangsters,Movie,Mark O'Connor,"John Connors, Fionn Walton, Kierston Wareing, Paul Alwright, Ryan Lincoln, Jimmy Smallhorne, Toni O'Rourke, Fionna Hewitt-Twamley, Stephen Clinch, Ciaran McCabe",Ireland,2016,"Mark O'Connor John Connors, Fionn Walton, Kierston Wareing, Paul Alwright, Ryan Lincoln, Jimmy Smallhorne, Toni O'Rourke, Fionna Hewitt-Twamley, Stephen Clinch, Ciaran McCabe Ireland Movie ","Drama, Crime",https://image.tmdb.org/t/p/w500/p8xEFeBpEYxA4rUYEvEYUaeYDcG.jpg
Care Bears: Welcome to Care-a-Lot,TV Show,,"David Lodge, Patty Mattson, Doug Erholtz, Stephanie Sheh, Nayo Wallace, Michael Sinterniklaas, Michaela Dean",United States,2012," David Lodge, Patty Mattson, Doug Erholtz, Stephanie Sheh, Nayo Wallace, Michael Sinterniklaas, Michaela Dean United States TV Show ","Animation, Family, Kids",https://image.tmdb.org/t/p/w500/jXkGRKryLYmbYuYQpAgxW46atVt.jpg
Caregiver,Movie,Chito S. Roño,"Sharon Cuneta, John Estrada, John Manalo, Rica Peralejo, Jhong Hilario, Saul Reichlin, Matthew Rutherford, Claire Jeater, Makisig Morales, Mickey Ferriols",Philippines,2008,"Chito S. Roño Sharon Cuneta, John Estrada, John Manalo, Rica Peralejo, Jhong Hilario, Saul Reichlin, Matthew Rutherford, Claire Jeater, Makisig Morales, Mickey Ferriols Philippines Movie ","Horror, Thriller",https://image.tmdb.org/t/p/w500/kkq73Bn2oO3nsHkJVbdDS1gCz5V.jpg
Carol,Movie,Todd Haynes,"Cate Blanchett, Rooney Mara, Sarah Paulson, Kyle Chandler, Jake Lacy, John Magaro, Cory Michael Smith, Carrie Brownstein, Kevin Crowley, Nik Pajic","United Kingdom, United States, Australia",2015,"Todd Haynes Cate Blanchett, Rooney Mara, Sarah Paulson, Kyle Chandler, Jake Lacy, John Magaro, Cory Michael Smith, Carrie Brownstein, Kevin Crowley, Nik Pajic United Kingdom, United States, Australia Movie ","Romance, Drama",https://image.tmdb.org/t/p/w500/cJeled7EyPdur6TnCA5GYg0UVna.jpg
Carrie,Movie,Brian De Palma,"Sissy Spacek, Piper Laurie, Amy Irving, William Katt, John Travolta, Nancy Allen, Betty Buckley, P.J. Soles, Priscilla Pointer, Sydney Lassick, Stefan Gierasch, Michael Talbott, Doug Cox, Harry Gold, Noelle North",United States,1976,"Brian De Palma Sissy Spacek, Piper Laurie, Amy Irving, William Katt, John Travolta, Nancy Allen, Betty Buckley, P.J. Soles, Priscilla Pointer, Sydney Lassick, Stefan Gierasch, Michael Talbott, Doug Cox, Harry Gold, Noelle North United States Movie ","Horror, Thriller",https://image.tmdb.org/t/p/w500/8tT1rqlsTguyfUBMrbHR9cv1rxM.jpg
Carriers,Movie,"Àlex Pastor, David Pastor","Lou Taylor Pucci, Chris Pine, Piper Perabo, Emily VanCamp, Christopher Meloni, Kiernan Shipka, Ron McClary, Mark Moses",United States,2009,"Àlex Pastor, David Pastor Lou Taylor Pucci, Chris Pine, Piper Perabo, Emily VanCamp, Christopher Meloni, Kiernan Shipka, Ron McClary, Mark Moses United States Movie ","Action, Drama, Horror, Science Fiction, Thriller",https://image.tmdb.org/t/p/w500/jxjnjHtHXgvjdhkwpelE9ZwVMg6.jpg
Casa de mi Padre,Movie,Matt Piedmont,"Will Ferrell, Gael García Bernal, Diego Luna, Genesis Rodriguez, Pedro Armendáriz Jr., Nick Offerman, Efren Ramirez, Adrian Martinez","United States, Mexico",2012,"Matt Piedmont Will Ferrell, Gael García Bernal, Diego Luna, Genesis Rodriguez, Pedro Armendáriz Jr., Nick Offerman, Efren Ramirez, Adrian Martinez United States, Mexico Movie ","Comedy, Western",https://image.tmdb.org/t/p/w500/kVCc7xwTAlckBofazrwIz8x1TXC.jpg
Case Closed,TV Show,,"Minami Takayama, Alison Retzloff, Wakana Yamazaki, Colleen Clinkenbeard, Akira Kamiya, R. Bruce Elliott, Wataru Takagi, Chafurin, Mark Stoddard",Japan,2015," Minami Takayama, Alison Retzloff, Wakana Yamazaki, Colleen Clinkenbeard, Akira Kamiya, R. Bruce Elliott, Wataru Takagi, Chafurin, Mark Stoddard Japan TV Show ","Animation, Crime, Mystery, Action",https://image.tmdb.org/t/p/w500/ctboIRYQHYJMge6M6fgcwrhREsj.jpg
Casino Royale,Movie,Martin Campbell,"Daniel Craig, Judi Dench, Eva Green, Jeffrey Wright, Mads Mikkelsen, Giancarlo Giannini","United Kingdom, Czech Republic, United States, Germany, Bahamas",2006,"Martin Campbell Daniel Craig, Judi Dench, Eva Green, Jeffrey Wright, Mads Mikkelsen, Giancarlo Giannini United Kingdom, Czech Republic, United States, Germany, Bahamas Movie ","Adventure, Action, Comedy",https://image.tmdb.org/t/p/w500/9wdw5H018bgIM8bK2HuDvh8BwOh.jpg
Casino Tycoon,Movie,Wong Jing,Wong Jing,Hong Kong,1992,Wong Jing Wong Jing Hong Kong Movie ,"Thriller, Crime",https://image.tmdb.org/t/p/w500/qOf4fAI8XxhdvSSPoX3iFqrIOoO.jpg
Casino Tycoon 2,Movie,Wong Jing,Dennis Chan,Hong Kong,1992,Wong Jing Dennis Chan Hong Kong Movie ,"Thriller, Mystery, Crime",https://image.tmdb.org/t/p/w500/c6kpKEzNDQavQ9xUILgtAZXHI7V.jpg
Castle of Stars,TV Show,,"Chaiyapol Pupart, Jintanutda Lummakanon, Worrawech Danuwong, Ornjira Lamwilai, Yong Armchair, Keerati Mahapreukpong, Akarat Nimitchai, Kornpassorn Duaysianklao, Nattapong Chartpong",,2015," Chaiyapol Pupart, Jintanutda Lummakanon, Worrawech Danuwong, Ornjira Lamwilai, Yong Armchair, Keerati Mahapreukpong, Akarat Nimitchai, Kornpassorn Duaysianklao, Nattapong Chartpong  TV Show ",,https://image.tmdb.org/t/p/w500/cdafnNuFDqCj4qUEcedta0TkmSa.jpg
Cat on a Hot Tin Roof,Movie,Richard Brooks,"Elizabeth Taylor, Paul Newman, Burl Ives, Jack Carson, Judith Anderson, Madeleine Sherwood, Larry Gates, Vaughn Taylor",United States,1958,"Richard Brooks Elizabeth Taylor, Paul Newman, Burl Ives, Jack Carson, Judith Anderson, Madeleine Sherwood, Larry Gates, Vaughn Taylor United States Movie ",Drama,https://image.tmdb.org/t/p/w500/5djZZECgqDGuSI1INmrdAcGRBb0.jpg
Catching the Sun,Movie,Shalini Kantayya,,"China, Germany, India, United States",2015,"Shalini Kantayya  China, Germany, India, United States Movie ",Documentary,https://image.tmdb.org/t/p/w500/bH27INYEvDCD38aJ816aowcCncX.jpg
Cats & Dogs: The Revenge of Kitty Galore,Movie,Brad Peyton,"James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Neil Patrick Harris, Sean Hayes, Wallace Shawn, Roger Moore, Joe Pantoliano, Michael Clarke Duncan, Chris O'Donnell, Jack McBrayer, Kiernan Shipka","United States, Australia",2010,"Brad Peyton James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Neil Patrick Harris, Sean Hayes, Wallace Shawn, Roger Moore, Joe Pantoliano, Michael Clarke Duncan, Chris O'Donnell, Jack McBrayer, Kiernan Shipka United States, Australia Movie ","Family, Adventure, Comedy, Fantasy, Action",https://image.tmdb.org/t/p/w500/78mfb3RYmSUKlfC9eDmwMBbXGI0.jpg
Catwalk: Tales from the Cat Show Circuit,Movie,"Aaron Hancox, Michael McNamara",,Canada,2018,"Aaron Hancox, Michael McNamara  Canada Movie ",,
Cave,Movie,Henrik Martin Dahlsbakken,"Heidi Toini, Benjamin Helstad, Mads Sjogard Pettersen, Ingar Helge Gimle",Norway,2016,"Henrik Martin Dahlsbakken Heidi Toini, Benjamin Helstad, Mads Sjogard Pettersen, Ingar Helge Gimle Norway Movie ","Adventure, Thriller",https://image.tmdb.org/t/p/w500/4RbStTnnZCDKLNqf9iPNbOBf1Bn.jpg
Celluloid Man,Movie,Shivendra Singh Dungarpur,P.K. Nair,India,2012,Shivendra Singh Dungarpur P.K. Nair India Movie ,Documentary,https://image.tmdb.org/t/p/w500/sIFXG2ML4V4dbxaxd1zuDWybMO0.jpg
Center Stage,Movie,Nicholas Hytner,"Amanda Schull, Zoe Saldana, Susan May Pratt, Peter Gallagher, Donna Murphy, Debra Monk, Ethan Stiefel, Sascha Radetsky, Julie Kent, Ilia Kulik",United States,2000,"Nicholas Hytner Amanda Schull, Zoe Saldana, Susan May Pratt, Peter Gallagher, Donna Murphy, Debra Monk, Ethan Stiefel, Sascha Radetsky, Julie Kent, Ilia Kulik United States Movie ","Drama, Music",https://image.tmdb.org/t/p/w500/95Et0t08Nv6S8FD593HpXyvcRt8.jpg
Chaar Sahibzaade,Movie,Harry Baweja,Om Puri,India,2014,Harry Baweja Om Puri India Movie ,"Animation, History, Action, Adventure, Family",https://image.tmdb.org/t/p/w500/nQp114D7CO8kkuNzHldxogmbYFN.jpg
Chal Dhar Pakad,Movie,Aatmaram Dharne,Nagesh Bhonsle,India,2010,Aatmaram Dharne Nagesh Bhonsle India Movie ,,https://image.tmdb.org/t/p/w500/ebGrnFVMIdGpemxL0jbyisu1CLV.jpg
Chal Mere Bhai,Movie,David Dhawan,"Sanjay Dutt, Salman Khan, Karisma Kapoor, Dalip Tahil, Sushma Seth, Shakti Kapoor, Nagma, Sonali Bendre, Twinkle Khanna, Ravi Baswani",India,2000,"David Dhawan Sanjay Dutt, Salman Khan, Karisma Kapoor, Dalip Tahil, Sushma Seth, Shakti Kapoor, Nagma, Sonali Bendre, Twinkle Khanna, Ravi Baswani India Movie ","Romance, Comedy",https://image.tmdb.org/t/p/w500/7eyv5NxoQFwFGYwi2je4ryayYWb.jpg
Chalay Thay Saath,Movie,Umer Adil,"Syra Shehroz, Kent S. Leung, Osama Tahir, Mansha Pasha, Zhalay Sharhadi, Faris Khalid, Behroze Sabzwari, Shamim Hilaly",Pakistan,2017,"Umer Adil Syra Shehroz, Kent S. Leung, Osama Tahir, Mansha Pasha, Zhalay Sharhadi, Faris Khalid, Behroze Sabzwari, Shamim Hilaly Pakistan Movie ","Romance, Comedy",https://image.tmdb.org/t/p/w500/dWgkvN2okGElQjbBHzQ6StRap5G.jpg
Chandani: The Daughter of the Elephant Whisperer,Movie,Arne Birkenstock,K.G. Chandani Renuka Ratnayake,"Germany, Sri Lanka",2010,"Arne Birkenstock K.G. Chandani Renuka Ratnayake Germany, Sri Lanka Movie ",Documentary,
Change in the Air,Movie,Dianne Dreyer,"Mary Beth Hurt, Rachel Brosnahan, Aidan Quinn, Olympia Dukakis, M. Emmet Walsh, Peter Gerety, Macy Gray, Satya Bhabha",United States,2018,"Dianne Dreyer Mary Beth Hurt, Rachel Brosnahan, Aidan Quinn, Olympia Dukakis, M. Emmet Walsh, Peter Gerety, Macy Gray, Satya Bhabha United States Movie ",Drama,https://image.tmdb.org/t/p/w500/uftXF12Z7PfrS32muM3eDZXJF70.jpg
Chaotic Love Poems,Movie,Garin Nugroho,"Chicco Jerikho, Pevita Pearce",Indonesia,2016,"Garin Nugroho Chicco Jerikho, Pevita Pearce Indonesia Movie ","Drama, Comedy, Romance",https://image.tmdb.org/t/p/w500/93EOZKgc8fRhWuanV4HWh2VIgbC.jpg
Chappaquiddick,Movie,John Curran,"Jason Clarke, Kate Mara, Ed Helms, Bruce Dern, Jim Gaffigan, Olivia Thirlby, Clancy Brown, Taylor Nichols, John Fiore","United States, Sweden",2017,"John Curran Jason Clarke, Kate Mara, Ed Helms, Bruce Dern, Jim Gaffigan, Olivia Thirlby, Clancy Brown, Taylor Nichols, John Fiore United States, Sweden Movie ","History, Drama, Thriller",https://image.tmdb.org/t/p/w500/kkTD7ufZd7AqAnZP5IMnrQXKRpM.jpg
Charlie and the Chocolate Factory,Movie,Tim Burton,"Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter, Noah Taylor, Missi Pyle, James Fox, Deep Roy, Christopher Lee, Adam Godley, AnnaSophia Robb, Julia Winter, Jordan Fry, Philip Wiegratz","United Kingdom, United States",2005,"Tim Burton Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter, Noah Taylor, Missi Pyle, James Fox, Deep Roy, Christopher Lee, Adam Godley, AnnaSophia Robb, Julia Winter, Jordan Fry, Philip Wiegratz United Kingdom, United States Movie ","Adventure, Comedy, Family, Fantasy",https://image.tmdb.org/t/p/w500/iKP6wg3c6COUe8gYutoGG7qcPnO.jpg
Charlie's Angels: Full Throttle,Movie,McG,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bernie Mac, Crispin Glover, Justin Theroux, Robert Patrick, Demi Moore, Rodrigo Santoro, Shia LaBeouf, Matt LeBlanc, Luke Wilson, John Cleese",United States,2003,"McG Cameron Diaz, Drew Barrymore, Lucy Liu, Bernie Mac, Crispin Glover, Justin Theroux, Robert Patrick, Demi Moore, Rodrigo Santoro, Shia LaBeouf, Matt LeBlanc, Luke Wilson, John Cleese United States Movie ","Action, Adventure, Comedy",https://image.tmdb.org/t/p/w500/n4cdJ0Wqxb7C0HmZbcaC4eYnkIf.jpg
Charlotte's Web,Movie,"Charles A. Nichols, Iwao Takamoto","Debbie Reynolds, Charles Nelson Reilly, Paul Lynde, Henry Gibson, Rex Allen, Danny Bonaduce, Pamelyn Ferdin, Don Messick, Agnes Moorehead, Martha Scott, John Stephenson, Herb Vigran, Dave Madden",United States,1973,"Charles A. Nichols, Iwao Takamoto Debbie Reynolds, Charles Nelson Reilly, Paul Lynde, Henry Gibson, Rex Allen, Danny Bonaduce, Pamelyn Ferdin, Don Messick, Agnes Moorehead, Martha Scott, John Stephenson, Herb Vigran, Dave Madden United States Movie ","Comedy, Family, Fantasy",https://image.tmdb.org/t/p/w500/fU0IR5HF8KxQbZijuWKPTrY81Qv.jpg
Chashme Buddoor,Movie,David Dhawan,"Ali Zafar, Siddharth, Divyendu Sharma, Tapsee Pannu, Rishi Kapoor, Anupam Kher, Bharati Achrekar, Varun Dhawan, Lillete Dubey, Ayaz Khan, Ashish Verma",India,2013,"David Dhawan Ali Zafar, Siddharth, Divyendu Sharma, Tapsee Pannu, Rishi Kapoor, Anupam Kher, Bharati Achrekar, Varun Dhawan, Lillete Dubey, Ayaz Khan, Ashish Verma India Movie ","Comedy, Romance",https://image.tmdb.org/t/p/w500/6J69y5YMvzPp3g1nHptG1bST8lq.jpg
Chasing Amy,Movie,Kevin Smith,"Ben Affleck, Joey Lauren Adams, Jason Lee, Dwight Ewell, Jason Mewes, Kevin Smith",United States,1997,"Kevin Smith Ben Affleck, Joey Lauren Adams, Jason Lee, Dwight Ewell, Jason Mewes, Kevin Smith United States Movie ","Comedy, Drama, Romance",https://image.tmdb.org/t/p/w500/9LKAXq3FztoUbsTR52Fmkzoqao2.jpg
Chasing Monsters,TV Show,,Cyril Chauquet,Canada,2016, Cyril Chauquet Canada TV Show ,"Documentary, Reality, Action & Adventure",https://image.tmdb.org/t/p/w500/58JUrveTgycvA0aKa4doAEYI4RU.jpg
Chasing the Dragon,Movie,"Wong Jing, Jason Kwan","Donnie Yen, Andy Lau, Philip Keung, Kent Cheng, Wilfred Lau, Ken Tong, Yu Kang","Hong Kong, China",2017,"Wong Jing, Jason Kwan Donnie Yen, Andy Lau, Philip Keung, Kent Cheng, Wilfred Lau, Ken Tong, Yu Kang Hong Kong, China Movie ","Drama, TV Movie",https://image.tmdb.org/t/p/w500/lGl7fljhf7AyFN3N9Dy7vNbQZIK.jpg
Chasing Trane,Movie,John Scheinfeld,"Denzel Washington, Bill Clinton, Ravi Coltrane, Common, Benny Golson, Jimmy Heath, Wynton Marsalis, Sonny Rollins, Carlos Santana, Cornel West",United States,2016,"John Scheinfeld Denzel Washington, Bill Clinton, Ravi Coltrane, Common, Benny Golson, Jimmy Heath, Wynton Marsalis, Sonny Rollins, Carlos Santana, Cornel West United States Movie ","Documentary, Music",https://image.tmdb.org/t/p/w500/pb09v5koCU7GrxCJNfRnliPRIKD.jpg
Chauthi Koot,Movie,Gurvinder Singh,"Suvinder Vikky, Rajbir Kaur, Gurpreet Kaur Bhangu, Taranjit Singh, Harleen Kaur, Kanwaljeet Singh, Harnek Aulakh, Tejpal Singh, Gulshan Saggi","India, France",2015,"Gurvinder Singh Suvinder Vikky, Rajbir Kaur, Gurpreet Kaur Bhangu, Taranjit Singh, Harleen Kaur, Kanwaljeet Singh, Harnek Aulakh, Tejpal Singh, Gulshan Saggi India, France Movie ",Drama,https://image.tmdb.org/t/p/w500/kmNeFLu51zS5yfbUvxS4heb7RmS.jpg
Cheapest Weddings,TV Show,,Melanie Vallejo,Australia,2016, Melanie Vallejo Australia TV Show ,,https://image.tmdb.org/t/p/w500/7EYsW08DjH1EKuUwISzXvnuoQng.jpg
Cheers,TV Show,,"Ted Danson, Rhea Perlman, George Wendt, John Ratzenberger, Shelley Long, Kirstie Alley, Woody Harrelson, Kelsey Grammer, Nicholas Colasanto",United States,1992," Ted Danson, Rhea Perlman, George Wendt, John Ratzenberger, Shelley Long, Kirstie Alley, Woody Harrelson, Kelsey Grammer, Nicholas Colasanto United States TV Show ",Comedy,https://image.tmdb.org/t/p/w500/nD1ZQBKbgKSmKcrAkWTofohsScj.jpg
Chef & My Fridge,TV Show,,"Seong-joo Kim​, Jung-hwan Ahn",South Korea,2017," Seong-joo Kim​, Jung-hwan Ahn South Korea TV Show ",Reality,https://image.tmdb.org/t/p/w500/zc7qvd7CVuYpWMXZxuSbhG8n8g1.jpg
Chernobyl Diaries,Movie,Bradley Parker,"Ingrid Bolsø Berdal, Dimitri Diatchenko, Olivia Taylor Dudley, Devin Kelley, Jesse McCartney, Nathan Phillips, Jonathan Sadowski, Alex Feldman, Kristof Konrad, Pasha D. Lychnikoff",United States,2012,"Bradley Parker Ingrid Bolsø Berdal, Dimitri Diatchenko, Olivia Taylor Dudley, Devin Kelley, Jesse McCartney, Nathan Phillips, Jonathan Sadowski, Alex Feldman, Kristof Konrad, Pasha D. Lychnikoff United States Movie ","Horror, Thriller",https://image.tmdb.org/t/p/w500/9AKhThGA8IATBy3gR7I4dw9SEc4.jpg
Chewin' the Fat,TV Show,,"Ford Kiernan, Greg Hemphill, Karen Dunbar, Mark Cox, Paul Riley",United Kingdom,1999," Ford Kiernan, Greg Hemphill, Karen Dunbar, Mark Cox, Paul Riley United Kingdom TV Show ",Comedy,https://image.tmdb.org/t/p/w500/lyCrQCda5j5S74JNr7aQhaNdk4a.jpg
Chewing Gum,TV Show,,"Michaela Coel, John Macmillan, Robert Lonsdale, Danielle Walters, Kadiff Kirwan, Susan Wokoma, Shola Adewusi, Sarah Hoare, Abby Rakic-Platt, Maggie Steed, Olisa Odele",United Kingdom,2017," Michaela Coel, John Macmillan, Robert Lonsdale, Danielle Walters, Kadiff Kirwan, Susan Wokoma, Shola Adewusi, Sarah Hoare, Abby Rakic-Platt, Maggie Steed, Olisa Odele United Kingdom TV Show ",Comedy,https://image.tmdb.org/t/p/w500/g7K7IrHzfCMbvJDahkymKugyfuZ.jpg
Chhota Bheem Aur Kaala Yodha,Movie,"Sidheswar Shukla, Asit Mohapatra","Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju",,2018,"Sidheswar Shukla, Asit Mohapatra Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju  Movie ",,https://image.tmdb.org/t/p/w500/pUypFqQXo4Xp8ipmfDYlvz60OMm.jpg
Chhota Bheem Ka Romani Adventure,Movie,"Asit Mohapatra, Shyamal Chaulia","Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju",,2018,"Asit Mohapatra, Shyamal Chaulia Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju  Movie ",,
Chhota Bheem Ka Troll Se Takkar,Movie,"Shyamal Chaulia, Asit Mohapatra","Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju",,2018,"Shyamal Chaulia, Asit Mohapatra Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju  Movie ",,
Chhota Bheem Kungfu Dhamaka,Movie,"Rajiv Chilaka, Binayak Das","Sonal Kaushal, Rupa Bhimani, Jigna Bharadhwaj, Sabina Malik, Julie Tejwani, Rajesh Kava, Vaibhav Thakkar, Samriddhi Shuklaa, Aditya Raj Sharma, Vinod Kulkarni",India,2019,"Rajiv Chilaka, Binayak Das Sonal Kaushal, Rupa Bhimani, Jigna Bharadhwaj, Sabina Malik, Julie Tejwani, Rajesh Kava, Vaibhav Thakkar, Samriddhi Shuklaa, Aditya Raj Sharma, Vinod Kulkarni India Movie ","Animation, Adventure, Action",https://image.tmdb.org/t/p/w500/dNA6W9i22PUbQwtQHCCsNOW0Lnd.jpg
Chicken Kokkachi,Movie,Anuranjan Premji,"Anuranjan Premji, Indrans, Dharmajan Bolgatty, Sudhi Koppa, Bijukuttan, Neha Rathanakaran, Prasanth",India,2017,"Anuranjan Premji Anuranjan Premji, Indrans, Dharmajan Bolgatty, Sudhi Koppa, Bijukuttan, Neha Rathanakaran, Prasanth India Movie ",Comedy,https://image.tmdb.org/t/p/w500/bpBehmpSRE4U772aSQVrQZ4K6Kl.jpg
Chicken Little,Movie,Mark Dindal,"Zach Braff, Joan Cusack, Patrick Stewart, Steve Zahn, Catherine O'Hara, Harry Shearer, Adam West, Don Knotts, Amy Sedaris, Garry Marshall, Patrick Warburton, Fred Willard, Wallace Shawn",United States,2005,"Mark Dindal Zach Braff, Joan Cusack, Patrick Stewart, Steve Zahn, Catherine O'Hara, Harry Shearer, Adam West, Don Knotts, Amy Sedaris, Garry Marshall, Patrick Warburton, Fred Willard, Wallace Shawn United States Movie ","Animation, Family, Comedy",https://image.tmdb.org/t/p/w500/87FpA4b90eTaw3U6zmCNikoPLir.jpg
Chief Daddy,Movie,Niyi Akinmolayan,"Taiwo Obileye, Joke Silva, Falz The Bahd Guy, Dakore Akande, Funke Akindele, Zainab Balogun, Shaffy Bello, Ini Edo, Linda Ihuoma-Suleiman, Mawuli Gavor, Richard Mofe-Damijo, Rachael Oniga, Nkem Owoh, Patience Ozokwor",Nigeria,2018,"Niyi Akinmolayan Taiwo Obileye, Joke Silva, Falz The Bahd Guy, Dakore Akande, Funke Akindele, Zainab Balogun, Shaffy Bello, Ini Edo, Linda Ihuoma-Suleiman, Mawuli Gavor, Richard Mofe-Damijo, Rachael Oniga, Nkem Owoh, Patience Ozokwor Nigeria Movie ","Comedy, Drama",https://image.tmdb.org/t/p/w500/rzPxqPcmhjvRU8WtIqwbW95EPQ4.jpg
Child's Play,Movie,Tom Holland,"Catherine Hicks, Alex Vincent, Brad Dourif, Chris Sarandon, Dinah Manoff, Tommy Swerdlow, Jack Colvin, Neil Giuntoli, Juan Ramírez, Alan Wilder",United States,1988,"Tom Holland Catherine Hicks, Alex Vincent, Brad Dourif, Chris Sarandon, Dinah Manoff, Tommy Swerdlow, Jack Colvin, Neil Giuntoli, Juan Ramírez, Alan Wilder United States Movie ","Horror, Thriller",https://image.tmdb.org/t/p/w500/rpS7ROczWulqfaXG2klYapULXKm.jpg
Chill with Bob Ross,TV Show,,Bob Ross,,1994, Bob Ross  TV Show ,,
China Salesman,Movie,Tan Bing,"Li Dong Xue, Mike Tyson, Steven Seagal, Janicke Askevold, Li Ai, Eriq Ebouaney, Clovis Fouin, Wang Zijian",China,2017,"Tan Bing Li Dong Xue, Mike Tyson, Steven Seagal, Janicke Askevold, Li Ai, Eriq Ebouaney, Clovis Fouin, Wang Zijian China Movie ","Action, Thriller",https://image.tmdb.org/t/p/w500/TmO5oywb87UwHBkpAulR13Y06m.jpg
Chingo Bling: They Can't Deport Us All,Movie,Luis Lopez,Chingo Bling,,2017,Luis Lopez Chingo Bling  Movie ,Comedy,https://image.tmdb.org/t/p/w500/2ksxXkIqvfzHhBIBUvy1T1l919s.jpg
Chittagong,Movie,Bedabrata Pain,"Manoj Bajpayee, Barry John, Delzad Hiwale, Vega Tamotia, Nawazuddin Siddiqui, Rajkummar Rao, Jaideep Ahlawat, Vijay Varma, Dibyendu Bhattacharya","United States, India, Bangladesh",2012,"Bedabrata Pain Manoj Bajpayee, Barry John, Delzad Hiwale, Vega Tamotia, Nawazuddin Siddiqui, Rajkummar Rao, Jaideep Ahlawat, Vijay Varma, Dibyendu Bhattacharya United States, India, Bangladesh Movie ",,https://image.tmdb.org/t/p/w500/k2bi20nfkZYmWJZXNk0NrENhdcH.jpg
Chitty Chitty Bang Bang,Movie,Ken Hughes,"Dick Van Dyke, Sally Ann Howes, Lionel Jeffries, Gert Fröbe, Anna Quayle, Benny Hill, James Robertson Justice, Robert Helpmann, Heather Ripley, Adrian Hall, Barbara Windsor, Davy Kaye, Alexander Doré, Bernard Spear, Stanley Unwin","United Kingdom, United States",1968,"Ken Hughes Dick Van Dyke, Sally Ann Howes, Lionel Jeffries, Gert Fröbe, Anna Quayle, Benny Hill, James Robertson Justice, Robert Helpmann, Heather Ripley, Adrian Hall, Barbara Windsor, Davy Kaye, Alexander Doré, Bernard Spear, Stanley Unwin United Kingdom, United States Movie ","Family, Adventure, Fantasy, Comedy",https://image.tmdb.org/t/p/w500/wJ62FzGeCAs6PjCIK1as6xzdIY5.jpg
